City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather
0,Castro,BR,-24.7911,-50.0119,76.33,50,0,6.15,clear sky
1,Hirado,JP,33.3597,129.5531,46.0,93,8,4.0,clear sky
2,Tupanatinga,BR,-8.7533,-37.3397,95.11,15,10,11.1,clear sky
3,Westport,US,41.1415,-73.3579,44.6,39,40,20.71,scattered clouds
4,Tiksi,RU,71.6872,128.8694,-25.46,86,100,5.97,overcast clouds
5,Mataura,NZ,-46.1927,168.8643,52.38,90,5,1.79,clear sky
6,Albany,US,42.6001,-73.9662,39.0,59,75,12.66,broken clouds
7,Coihaique,CL,-45.5752,-72.0662,73.4,38,75,6.91,broken clouds
8,Hermanus,ZA,-34.4187,19.2345,70.0,85,92,1.01,overcast clouds
9,Ilulissat,GL,69.2167,-51.1,21.2,38,40,20.71,snow
10,Ikalamavony,MG,-21.15,46.5833,71.26,82,100,1.48,light rain
11,Barao De Melgaco,BR,-16.1944,-55.9675,89.6,48,75,3.44,broken clouds
12,Busselton,AU,-33.65,115.3333,59.0,95,100,1.99,light rain
13,Upernavik,GL,72.7868,-56.1549,19.96,80,100,4.99,overcast clouds
14,Maragogi,BR,-9.0122,-35.2225,82.89,66,85,12.86,overcast clouds
15,Thompson,CA,55.7435,-97.8558,-31.0,61,75,14.97,snow
16,Port Elizabeth,ZA,-33.918,25.5701,69.8,94,90,10.36,overcast clouds
17,Qaanaaq,GL,77.484,-69.3632,12.16,89,100,7.63,overcast clouds
18,Rikitea,PF,-23.1203,-134.9692,77.65,74,100,12.37,overcast clouds
19,Jamestown,US,42.097,-79.2353,21.99,53,1,20.71,clear sky
20,Kapaa,US,22.0752,-159.319,62.01,88,1,6.91,clear sky
21,Rio Gallegos,AR,-51.6226,-69.2181,62.6,27,20,11.5,few clouds
22,Ushuaia,AR,-54.8,-68.3,53.6,62,20,23.02,few clouds
23,Bluff,NZ,-46.6,168.3333,53.69,84,10,4.61,clear sky
24,Coquimbo,CL,-29.9533,-71.3436,68.0,64,20,10.36,few clouds
25,Susanville,US,40.4163,-120.653,39.0,69,1,0.94,clear sky
26,Dzerzhinsk,RU,56.2389,43.4631,-2.0,71,75,11.18,light snow
27,Victoria,HK,22.2855,114.1577,66.0,73,0,3.96,clear sky
28,Jacksonville,US,30.3322,-81.6556,55.0,82,90,10.36,overcast clouds
29,Butaritari,KI,3.0707,172.7902,81.03,80,89,21.12,light rain
30,Huilong,CN,31.8111,121.655,53.01,89,0,6.35,clear sky
31,Atuona,PF,-9.8,-139.0333,80.11,78,100,22.17,overcast clouds
32,Saint George,US,37.1041,-113.5841,53.01,39,1,3.44,clear sky
33,Chokurdakh,RU,70.6333,147.9167,-20.16,87,61,8.48,broken clouds
34,Caravelas,BR,-17.7125,-39.2481,83.12,76,94,10.6,overcast clouds
35,Nikolskoye,RU,59.7035,30.7861,10.4,79,75,15.66,snow
36,Bethel,US,41.3712,-73.414,41.0,33,40,11.5,scattered clouds
37,Tabas,IR,33.5959,56.9244,53.6,22,3,6.91,clear sky
38,Finspang,SE,58.7058,15.7674,8.6,85,20,5.75,few clouds
39,Saint-Pierre,RE,-21.3393,55.4781,79.0,83,75,3.44,broken clouds
40,Tuatapere,NZ,-46.1333,167.6833,54.0,82,2,3.8,clear sky
41,Tasiilaq,GL,65.6145,-37.6368,32.0,80,75,43.73,light rain
42,Bahia Blanca,AR,-38.7196,-62.2724,85.82,37,0,16.35,clear sky
43,Bambous Virieux,MU,-20.3428,57.7575,80.01,83,40,6.91,scattered clouds
44,Kruisfontein,ZA,-34.0033,24.7314,69.01,87,0,3.0,clear sky
45,Belmonte,BR,-15.8631,-38.8828,86.0,79,75,10.36,broken clouds
46,Hobart,AU,-42.8794,147.3294,57.99,82,10,4.61,clear sky
47,New Norfolk,AU,-42.7826,147.0587,57.99,78,25,1.99,scattered clouds
48,Vao,NC,-22.6667,167.4833,77.45,86,0,8.7,clear sky
49,Kondol,RU,52.8189,45.058,-1.97,92,100,11.14,overcast clouds
50,Cape Town,ZA,-33.9258,18.4232,73.99,68,75,14.97,broken clouds
51,Hamilton,US,39.1834,-84.5333,33.01,40,1,3.44,clear sky
52,Carnarvon,AU,-24.8667,113.6333,80.6,100,1,12.66,clear sky
53,Verkhnyaya Inta,RU,65.9811,60.3094,-28.28,84,59,10.2,broken clouds
54,Gunjur,GM,13.2019,-16.7339,78.8,38,95,11.5,overcast clouds
55,Dingle,PH,10.9995,122.6711,74.57,92,46,7.74,scattered clouds
56,Pareora,NZ,-44.4871,171.2132,53.62,89,70,5.91,broken clouds
57,Sawang Daen Din,TH,17.4753,103.4575,69.01,67,10,9.01,clear sky
58,Torbay,CA,47.6666,-52.7314,36.0,87,90,11.5,light rain
59,Takoradi,GH,4.8845,-1.7554,80.62,86,10,8.81,clear sky
60,Provideniya,RU,64.3833,-173.3,1.45,91,80,4.41,broken clouds
61,Hithadhoo,MV,-0.6,73.0833,81.45,78,15,14.94,few clouds
62,Ifanadiana,MG,-21.3,47.6333,72.27,92,100,0.85,light rain
63,Lorengau,PG,-2.0226,147.2712,81.75,76,91,3.69,overcast clouds
64,Hilo,US,19.7297,-155.09,66.0,63,1,5.75,clear sky
65,Sicamous,CA,50.8331,-118.9856,34.0,93,100,2.35,overcast clouds
66,Ostrovnoy,RU,68.0531,39.5131,10.8,92,100,11.54,overcast clouds
67,Mount Gambier,AU,-37.8333,140.7667,55.4,88,90,10.36,overcast clouds
68,Souillac,MU,-20.5167,57.5167,78.8,83,40,6.91,scattered clouds
69,Sao Filipe,CV,14.8961,-24.4956,70.38,74,100,14.88,overcast clouds
70,Smidovich,RU,48.6,133.8167,-12.51,89,46,2.51,scattered clouds
71,Ponta Do Sol,PT,32.6667,-17.1,59.0,77,40,9.22,scattered clouds
72,Bud,US,39.447,-86.1758,25.0,50,1,4.41,clear sky
73,Fairbanks,US,64.8378,-147.7164,-8.0,77,90,0.76,light snow
74,Vanimo,PG,-2.6741,141.3028,76.87,87,100,5.12,overcast clouds
75,Melville,US,40.7934,-73.4151,45.0,36,1,21.85,clear sky
76,Abu Kamal,SY,34.4506,40.9171,55.8,50,0,9.24,clear sky
77,Saint-Philippe,RE,-21.3585,55.7679,79.0,83,75,3.44,light rain
78,Kavieng,PG,-2.5744,150.7967,81.63,71,53,2.68,broken clouds
79,Geraldton,AU,-28.7667,114.6,69.8,94,90,18.41,overcast clouds
80,Hobyo,SO,5.3505,48.5268,77.56,76,0,14.72,clear sky
81,Port Alfred,ZA,-33.5906,26.891,73.0,92,82,7.58,broken clouds
82,Abnub,EG,27.2696,31.1511,59.0,67,0,10.36,clear sky
83,Kodiak,US,57.79,-152.4072,28.4,64,1,3.44,clear sky
84,Clyde River,CA,70.4692,-68.5914,-14.8,84,40,4.61,scattered clouds
85,Hatillo,PR,18.4863,-66.8254,88.0,66,47,5.01,scattered clouds
86,Inuvik,CA,68.3499,-133.7218,-23.8,76,100,1.14,overcast clouds
87,Puerto Ayora,EC,-0.7393,-90.3518,80.6,78,75,11.5,broken clouds
88,Tessalit,ML,20.1986,1.0114,77.58,16,18,8.66,few clouds
89,Lagoa,PT,39.05,-27.9833,59.92,90,100,23.35,overcast clouds
90,Lebu,CL,-37.6167,-73.65,62.8,78,47,7.02,scattered clouds
91,Airai,TL,-8.9266,125.4092,60.19,100,100,2.28,overcast clouds
92,Nanortalik,GL,60.1432,-45.2371,22.62,78,0,4.92,clear sky
93,San Patricio,US,28.017,-97.5169,68.0,73,90,11.5,overcast clouds
94,Labelle,US,26.7617,-81.4384,86.0,54,75,13.8,broken clouds
95,General Roca,AR,-39.0333,-67.5833,82.4,42,0,9.22,clear sky
96,Koslan,RU,63.4564,48.8989,-10.71,87,100,9.8,overcast clouds
97,Komsomolskiy,UZ,40.4272,71.7189,41.0,56,100,4.61,mist
98,Langenau,DE,48.4962,10.1185,42.01,88,100,3.0,overcast clouds
99,Barrow,US,71.2906,-156.7887,-0.4,71,90,11.5,haze
100,Cururupu,BR,-1.8283,-44.8683,86.97,59,90,7.52,overcast clouds
101,Cherskiy,RU,68.75,161.3,-9.35,80,0,5.86,clear sky
102,San Ramon De La Nueva Oran,AR,-23.1322,-64.326,91.49,35,31,3.6,scattered clouds
103,Saskylakh,RU,71.9167,114.0833,-34.74,81,97,5.97,overcast clouds
104,Oussouye,SN,12.485,-16.5469,78.8,47,0,9.22,clear sky
105,Buraydah,SA,26.326,43.975,51.8,100,75,6.91,broken clouds
106,Maceio,BR,-9.6658,-35.7353,89.6,58,0,18.41,clear sky
107,Vestmannaeyjar,IS,63.4427,-20.2734,37.4,75,20,29.93,few clouds
108,Katsuura,JP,35.1333,140.3,42.8,65,0,8.05,clear sky
109,Asau,RO,46.4333,26.4,30.0,75,100,4.05,overcast clouds
110,Plettenberg Bay,ZA,-34.0527,23.3716,67.75,87,0,7.09,clear sky
111,Adrar,MR,20.5022,-10.0711,64.2,29,100,10.69,overcast clouds
112,Cabo San Lucas,MX,22.8909,-109.9124,80.01,56,1,6.91,clear sky
113,Nalut,LY,30.3333,10.85,69.08,22,99,12.71,overcast clouds
114,Luderitz,NA,-26.6481,15.1594,72.37,53,0,27.34,clear sky
115,Mahebourg,MU,-20.4081,57.7,78.8,83,40,6.91,scattered clouds
116,Galesong,ID,-5.3166,119.3661,73.4,100,20,2.3,few clouds
117,Santa Engracia,ES,41.9406,-1.3245,51.01,87,90,18.41,overcast clouds
118,Chapais,CA,49.7834,-74.8492,17.6,67,90,18.41,light snow
119,Menongue,AO,-14.6585,17.691,69.19,79,100,3.56,overcast clouds
120,Monroe,US,43.1501,-77.6831,27.0,65,100,5.99,overcast clouds
121,Rovnoye,RU,50.7765,46.0509,16.48,91,97,13.15,overcast clouds
122,Japura,ID,-0.3167,102.35,73.54,89,80,0.74,broken clouds
123,Ziarat,PK,30.3823,67.7282,41.9,52,0,4.41,clear sky
124,Dingli,MT,35.8614,14.3822,62.01,88,0,6.91,clear sky
125,Watertown,US,42.3709,-71.1828,42.01,38,40,18.41,scattered clouds
126,Rakkestad,NO,59.4251,11.3454,18.0,86,0,4.74,clear sky
127,Tulun,RU,54.5611,100.5792,11.66,93,100,4.65,overcast clouds
128,Ribeira Grande,PT,38.5167,-28.7,60.8,88,75,23.02,broken clouds
129,Punta Arenas,CL,-53.15,-70.9167,59.0,41,40,21.85,scattered clouds
130,Dikson,RU,73.5069,80.5464,-29.56,86,85,10.33,overcast clouds
131,Ulaangom,MN,49.9811,92.0667,-7.37,89,40,2.04,scattered clouds
132,Vaini,TO,-21.2,-175.2,75.2,88,75,5.75,broken clouds
133,Tchibanga,GA,-2.85,11.0333,74.86,96,100,4.25,light rain
134,Chuy,UY,-33.6971,-53.4616,83.3,46,0,10.29,clear sky
135,Itarema,BR,-2.9248,-39.9167,85.15,62,57,15.61,broken clouds
136,Wairoa,NZ,-39.0333,177.3667,59.0,92,100,1.99,overcast clouds
137,Catuday,PH,16.2923,119.8062,77.45,80,3,9.64,clear sky
138,Chiang Khong,TH,20.2613,100.4046,68.0,94,0,1.43,clear sky
139,Dzhebariki-Khaya,RU,62.2167,135.8,-25.35,85,100,1.16,overcast clouds
140,Khatanga,RU,71.9667,102.5,-36.62,78,0,6.89,clear sky
141,Vaitape,PF,-16.5167,-151.75,81.34,71,0,11.74,clear sky
142,Matagami,CA,49.7502,-77.6328,14.0,79,90,11.5,light snow
143,Caborca,MX,30.5838,-111.101,62.01,36,0,3.0,clear sky
144,Tual,ID,-5.6667,132.75,83.89,77,100,19.89,overcast clouds
145,Benguela,AO,-12.5763,13.4055,74.91,81,1,5.82,clear sky
146,Tuktoyaktuk,CA,69.4541,-133.0374,-16.6,76,90,19.57,snow
147,Hortolandia,BR,-22.8583,-47.22,86.0,39,40,11.5,light rain
148,Asfi,MA,32.2994,-9.2372,57.04,72,98,12.82,overcast clouds
149,Hay River,CA,60.8156,-115.7999,-32.8,68,58,4.03,broken clouds
150,Zhaoqing,CN,23.0512,112.4597,72.0,99,0,0.92,clear sky
151,Fereydun Kenar,IR,36.6864,52.5225,53.11,86,100,10.83,overcast clouds
152,Nabire,ID,-3.3667,135.4833,74.97,85,100,3.89,overcast clouds
153,Santa Maria,BR,-29.6842,-53.8069,78.8,57,20,5.75,few clouds
154,Amga,RU,60.8953,131.9608,-28.98,83,100,1.34,overcast clouds
155,Neuquen,AR,-38.9516,-68.0591,82.4,42,0,9.22,clear sky
156,Georgetown,MY,5.4112,100.3354,82.99,89,20,3.44,few clouds
157,Avarua,CK,-21.2078,-159.775,80.6,83,21,5.75,few clouds
158,Siocon,PH,7.7061,122.1353,77.4,82,100,9.62,overcast clouds
159,Faya,SA,18.3851,42.4509,51.8,82,20,8.05,few clouds
160,Nishihara,JP,26.1842,127.7558,66.2,72,20,5.75,few clouds
161,Mezhdurechensk,RU,53.6942,88.0603,24.17,97,21,3.2,few clouds
162,Paita,PE,-5.0892,-81.1144,87.8,48,3,11.5,clear sky
163,Sundsvall,SE,62.3913,17.3063,24.01,79,90,9.22,overcast clouds
164,Vardo,NO,70.3705,31.1107,23.0,80,40,21.85,light snow
165,Yaan,NG,7.3833,8.5667,85.12,14,0,4.88,clear sky
166,Richards Bay,ZA,-28.783,32.0377,74.23,83,84,6.26,broken clouds
167,Quesnel,CA,52.9999,-122.5029,21.2,86,90,12.66,light snow
168,Kununurra,AU,-15.7667,128.7333,80.6,100,75,6.91,broken clouds
169,Shinshiro,JP,34.9,137.5,50.0,59,0,4.0,clear sky
170,Vila Franca Do Campo,PT,37.7167,-25.4333,61.0,88,75,16.11,broken clouds
171,Alamosa,US,37.4695,-105.87,32.0,34,1,4.61,clear sky
172,Paamiut,GL,61.994,-49.6678,22.57,82,0,6.91,clear sky
173,Kaolinovo,BG,43.6167,27.1167,44.01,90,100,1.99,overcast clouds
174,East London,ZA,-33.0153,27.9116,73.4,94,20,2.3,few clouds
175,Hudiksvall,SE,61.729,17.1036,12.99,94,99,8.23,overcast clouds
176,Viedma,AR,-40.8135,-62.9967,78.01,43,0,1.01,clear sky
177,Bengkulu,ID,-3.8004,102.2655,76.37,78,99,5.03,overcast clouds
178,Acarau,BR,-2.8856,-40.12,85.53,60,85,16.89,overcast clouds
179,Liku,ID,-0.7275,119.8922,75.24,77,100,1.88,overcast clouds
180,Mabamba,TZ,-3.5983,30.5019,66.27,88,100,0.89,overcast clouds
181,Baykit,RU,61.67,96.37,7.5,91,100,5.06,light snow
182,Moose Factory,CA,51.2585,-80.6094,1.4,60,90,19.57,light snow
183,Bodden Town,KY,19.2833,-81.25,86.0,74,40,13.8,scattered clouds
184,Walvis Bay,NA,-22.9575,14.5053,64.99,82,0,8.05,clear sky
185,Bafra,TR,41.5678,35.9069,53.01,61,22,4.0,few clouds
186,Melchor De Mencos,GT,17.0686,-89.1522,86.0,62,0,6.91,clear sky
187,Kigoma,TZ,-4.8769,29.6267,73.4,94,40,8.05,light rain
188,Karratha,AU,-20.7377,116.8463,78.17,73,43,10.74,scattered clouds
189,Peniche,PT,39.3558,-9.3811,53.01,78,60,13.0,broken clouds
190,Mehamn,NO,71.0357,27.8492,25.9,94,100,20.02,light snow
191,Farkhor,TJ,37.4922,69.4036,57.2,35,90,6.71,light rain
192,Sola,VU,-13.8833,167.55,75.2,100,20,5.53,few clouds
193,Sabang,ID,5.8933,95.3214,81.27,81,11,12.93,light rain
194,Namie,JP,37.4833,141.0,45.0,66,0,10.36,clear sky
195,Razole,IN,16.4833,81.8333,64.2,86,25,2.91,scattered clouds
196,Kloulklubed,PW,7.0419,134.2556,78.8,94,75,11.5,broken clouds
197,San Juan,AR,-31.5375,-68.5364,94.96,19,0,6.78,clear sky
198,Belgrade,RS,44.804,20.4651,50.0,81,100,4.61,overcast clouds
199,Kachiry,KZ,53.0675,76.1036,28.31,96,100,16.73,overcast clouds
200,Bonito,BR,-21.1211,-56.4819,82.53,49,0,5.61,clear sky
201,Najran,SA,17.4924,44.1277,69.8,40,40,9.22,scattered clouds
202,Faanui,PF,-16.4833,-151.75,81.28,70,0,10.31,light rain
203,Longyearbyen,SJ,78.2186,15.6401,23.0,74,75,2.3,broken clouds
204,San Andres,CO,12.5847,-81.7006,86.0,74,20,9.22,few clouds
205,Cerqueira Cesar,BR,-23.0356,-49.1661,78.49,57,25,4.76,scattered clouds
206,Mar Del Plata,AR,-38.0023,-57.5575,69.8,64,75,14.97,light rain
207,Rawson,AR,-43.3002,-65.1023,64.83,55,100,23.8,overcast clouds
208,Akdepe,TM,42.0551,59.3788,46.4,81,0,9.22,clear sky
209,Nioki,CD,-2.7167,17.6833,77.59,80,85,2.66,overcast clouds
210,Norman Wells,CA,65.282,-126.8329,-32.8,75,75,4.61,broken clouds
211,Marsabit,KE,2.3284,37.9899,71.51,57,0,7.25,clear sky
212,Kamenka,RU,51.3223,42.7678,15.01,78,100,12.62,overcast clouds
213,Baker City,US,44.7749,-117.8344,39.2,65,1,4.61,clear sky
214,Zhangzhou,CN,24.5133,117.6556,59.0,94,33,6.71,mist
215,Indramayu,ID,-6.3264,108.32,78.55,85,100,11.03,overcast clouds
216,Mwinilunga,ZM,-11.7358,24.4293,66.13,92,100,4.12,moderate rain
217,Kaitangata,NZ,-46.2817,169.8464,52.27,89,4,3.11,clear sky
218,Mlonggo,ID,-6.5333,110.7,78.84,84,75,11.52,broken clouds
219,Evensk,RU,61.95,159.2333,9.0,89,52,17.65,broken clouds
220,Lompoc,US,34.6391,-120.4579,63.0,58,1,3.44,clear sky
221,Hami,CN,42.8,93.45,31.03,80,0,5.03,clear sky
222,Omboue,GA,-1.5746,9.2618,79.48,88,100,6.31,moderate rain
223,Quelimane,MZ,-17.8786,36.8883,86.0,79,40,6.91,scattered clouds
224,Cidreira,BR,-30.1811,-50.2056,76.91,62,13,8.55,few clouds
225,Penzance,GB,50.1186,-5.5371,41.0,81,84,14.97,broken clouds
226,Naze,JP,28.3667,129.4833,59.76,83,100,8.12,overcast clouds
227,Sioux Lookout,CA,50.1001,-91.917,-14.8,64,90,11.5,snow
228,Vezirkopru,TR,41.1436,35.4547,42.8,65,20,1.14,few clouds
229,Comodoro Rivadavia,AR,-45.8667,-67.5,57.2,77,90,17.27,light rain
230,Havre-Saint-Pierre,CA,50.2334,-63.5986,32.0,93,90,12.66,snow
231,Ankang,CN,32.68,109.0172,48.99,31,98,4.0,overcast clouds
232,Ilinskiy,RU,55.619,38.1182,3.2,66,75,17.9,broken clouds
233,Chirongui,YT,-12.9319,45.1483,80.6,78,75,8.05,broken clouds
234,Pushkinskiye Gory,RU,57.0209,28.9103,0.93,95,45,4.81,scattered clouds
235,Santa Cruz,BO,-17.8,-63.1667,91.4,43,40,4.61,scattered clouds
